seed,method,validation_roc_auc,validation_log_loss,validation_accuracy,test_roc_auc,test_log_loss,test_accuracy,fit_wall_s,final_test_predict_wall_s,epochs_completed,selected_snapshot_count,result_path
0,independent_mlp_ensemble,0.8633476514721037,0.3376968972521184,0.865,0.8559977543028391,0.3454592426917608,0.859,56.711008300000685,0.004910699997708434,100,4,independent_mlp_ensemble-seed-0/result.json
1,independent_mlp_ensemble,0.8635065635503848,0.33641301198935997,0.870625,0.8560656187774832,0.34473835417982635,0.862,47.877094399998896,0.003548399999999674,100,4,independent_mlp_ensemble-seed-1/result.json
2,independent_mlp_ensemble,0.8638869894347545,0.3360894696851826,0.865625,0.8576650610548916,0.34333064734254376,0.864,46.01499419999891,0.004995100000087405,100,4,independent_mlp_ensemble-seed-2/result.json
0,mlp,0.8632826419855342,0.3384511644568762,0.86125,0.8530764971442938,0.34974466669883003,0.8595,11.796469299999444,0.0038907999987713993,89,1,mlp-seed-0/result.json
1,mlp,0.8636654756286658,0.3377294930632268,0.86625,0.8552712959492621,0.3436224244642744,0.8635,7.7421128999994835,0.0009119000023929402,85,1,mlp-seed-1/result.json
2,mlp,0.8667618533963846,0.3345428440336532,0.868125,0.8578948748440274,0.34406064156557015,0.86,9.354286199999478,0.001144199999544071,93,1,mlp-seed-2/result.json
0,packed_heterogeneous_ensemble,0.8643179782531228,0.33648147299891024,0.86,0.8596732325545885,0.3420892340415978,0.86,45.53605569999854,0.0059575000013865065,100,4,packed_heterogeneous_ensemble-seed-0/result.json
1,packed_heterogeneous_ensemble,0.8668100085716212,0.33493003918436537,0.865625,0.8608562337375897,0.34025553606352243,0.86,82.95652370000244,0.00208070000007865,100,4,packed_heterogeneous_ensemble-seed-1/result.json
2,packed_heterogeneous_ensemble,0.8643878032572161,0.3407525647873741,0.85875,0.8559468559468559,0.3481202351707805,0.853,54.387524400000984,0.0013892000024497975,70,2,packed_heterogeneous_ensemble-seed-2/result.json
