seed,method,validation_roc_auc,validation_log_loss,validation_accuracy,test_roc_auc,test_log_loss,test_accuracy,fit_wall_s,final_test_predict_wall_s,epochs_completed,selected_snapshot_count,result_path
0,independent_mlp_ensemble,0.8633476514721037,0.3376968972521184,0.865,0.8559977543028391,0.3454592426917608,0.859,59.592119200000525,0.0020875999998679617,100,4,independent_mlp_ensemble-seed-0/result.json
1,independent_mlp_ensemble,0.8635065635503848,0.33641301198935997,0.870625,0.8560656187774832,0.34473835417982635,0.862,68.40088059999835,0.004591599998093443,100,4,independent_mlp_ensemble-seed-1/result.json
2,independent_mlp_ensemble,0.8638869894347545,0.3360894696851826,0.865625,0.8576650610548916,0.34333064734254376,0.864,69.02673560000039,0.004881800003204262,100,4,independent_mlp_ensemble-seed-2/result.json
0,mlp,0.8641879592799838,0.33790336055891657,0.8575,0.8538445996073115,0.35002751973335194,0.8605,12.054522399999769,0.07566640000004554,100,1,mlp-seed-0/result.json
1,mlp,0.8632609721566776,0.34039161343522417,0.8625,0.8557556015183134,0.3450913430109688,0.8595,20.700941899998725,0.001528899996628752,83,1,mlp-seed-1/result.json
2,mlp,0.8635836118307635,0.33744116756099435,0.866875,0.8572732979512641,0.3452103578100861,0.8605,12.649244499996712,0.001774100001057377,61,1,mlp-seed-2/result.json
0,packed_heterogeneous_ensemble,0.8644817058489276,0.33675946949607954,0.86,0.8596192494497579,0.3424154755004799,0.8585,77.68232119999811,0.01763510000091628,100,1,packed_heterogeneous_ensemble-seed-0/result.json
1,packed_heterogeneous_ensemble,0.8653292369330932,0.3365855764350808,0.858125,0.8601914703609619,0.3407075718257881,0.858,129.35318109999935,0.0032578000027569942,100,2,packed_heterogeneous_ensemble-seed-1/result.json
2,packed_heterogeneous_ensemble,0.8651221696795754,0.3415112894280751,0.86,0.8562938901921953,0.34834861340718476,0.855,45.73930939999991,0.0013486999996530358,68,2,packed_heterogeneous_ensemble-seed-2/result.json
